Name,Type
input_double_register_34,DOUBLE
input_double_register_35,DOUBLE
input_double_register_36,DOUBLE
input_double_register_37,DOUBLE
input_double_register_38,DOUBLE
input_double_register_39,DOUBLE
input_double_register_40,DOUBLE
input_double_register_41,DOUBLE
input_double_register_42,DOUBLE
input_double_register_43,DOUBLE
input_double_register_44,DOUBLE
input_double_register_45,DOUBLE
input_double_register_46,DOUBLE
input_double_register_47,DOUBLE
